provnum	stabbrev	deaths_per_bed	nh_covid_deaths	bedcert	tract_density	tract_housing_density	tract_pt_share_u50k	tract_pt_share	tract_pt_share_hc	tract_pov_share	tract_med_income	tract_white_share	tract_black_share	tract_white_nh_share	tract_share_frontline	tract_data	tract_share_nonwhite	tract_pred_nh_pt_share
"555533"	"CA"	6.25	5.5	88	10891.05	3.232054	.0731842	.0877742	.099909	.132446	37686.39	.4286446	.0867076	.2511347	.3038839	1	.5713555	.0455538
"555254"	"CA"	0	0	124	10527.73	2.825667	.1201423	.1460307	.1051729	.1331706	43356.04	.4807206	.1177352	.3696946	.2598475	1	.5192794	.1151784
"056052"	"CA"	4.545455	5.5	121	10163.96	3.360005	.0764498	.0923681	.1297799	.0889943	38572.41	.387834	.0780776	.2215211	.3099338	1	.612166	.0341448
"055809"	"CA"	0	0	30	9092.137	3.058803	.0799743	.0898723	.1002324	.1268633	38527.32	.4189256	.1222004	.274497	.2896388	1	.5810744	.0548603
"555611"	"CA"	0	0	97	9548.32	2.948744	.0871979	.1101616	.0998888	.1531834	40117.18	.4852643	.1019026	.3296881	.2846712	1	.5147357	.0758528
"555335"	"CA"	0	0	26	5857.542	3.007922	.035378	.0545833	.097393	.0908571	45987.1	.6348336	.0410558	.4817638	.2638274	1	.3651664	.0503144
"555313"	"CA"	0	0	70	13533.29	2.573637	.1580446	.1810381	.1062759	.1553003	41948.95	.4661028	.1338407	.3703699	.2481552	1	.5338972	.1572192
"555905"	"CA"	0	0	36														
"555398"	"CA"	0	0	99														
"056170"	"CA"	5.555556	5.5	99	12257.2	3.016758	.1163208	.1369577	.1149412	.1782832	37634.15	.3769754	.1616734	.2541363	.2957952	1	.6230246	.1085733
"555809"	"CA"	0	0	86														
"05A408"	"CA"	0	0	88														
"555570"	"CA"	0	0	48	14154.48	2.894421	.1582842	.1699951	.1114733	.1636148	36621.09	.4074101	.1280315	.2979418	.2725944	1	.5925899	.1580847
"056479"	"CA"	0	0	109	10098.48	2.939389	.1011936	.1218828	.1034077	.1314154	41672.31	.444357	.1169512	.3163072	.2715296	1	.555643	.0871808
"055212"	"CA"	0	0	83	5857.542	3.007922	.035378	.0545833	.097393	.0908571	45987.1	.6348336	.0410558	.4817638	.2638274	1	.3651664	.0503144
"05A396"	"CA"	0	0	96														
"055107"	"CA"	0	0	36	10538.27	2.845979	.1064413	.1350195	.1043737	.1552939	38014.2	.4008183	.1464913	.2811866	.276833	1	.5991817	.117905
"056103"	"CA"	0	0	151														
"555899"	"CA"	0	0	27	6528.524	2.951913	.0444473	.0661736	.1024945	.084126	45692.56	.6350147	.0373741	.476772	.2490992	1	.3649853	.0686583
"555466"	"CA"	0	0	31	12075.28	2.606421	.1663161	.2000446	.0902375	.0894768	46262.45	.5482762	.1049159	.4692477	.2327664	1	.4517238	.1827204
"056422"	"CA"	4.782609	5.5	115	10613.86	3.280693	.0622435	.0840448	.1043472	.0732993	43658.9	.311305	.0563217	.224363	.2776325	1	.6886951	.0366546
"05A427"	"CA"	0	0	126														
"055876"	"CA"	0	0	82	12409.95	2.958891	.159953	.1514754	.12755	.2528661	32131.27	.3407374	.2216562	.2244015	.3081545	1	.6592627	.1541945
"555461"	"CA"	0	0	32	11328.02	2.837758	.1300138	.1548775	.0780572	.1581901	41696.23	.4188189	.0960632	.303344	.2698509	1	.581181	.1155525
"055239"	"CA"	17.58242	16	91	9279.913	2.920965	.0942431	.1152378	.1016731	.1037971	45735.4	.4945816	.0752778	.3759783	.2589157	1	.5054184	.0806179
"055215"	"CA"	0	0	98	12636.23	2.817754	.138368	.1584525	.1135784	.1549486	40115.81	.4331692	.1399198	.320856	.2636285	1	.5668308	.1375295
"056475"	"CA"	15.49296	11	71	9144.99	3.057546	.0702753	.0923039	.1044004	.1241864	39838.52	.4681878	.0935822	.3016092	.2877384	1	.5318122	.0489454
"555819"	"CA"	7.432433	5.5	74	12878.46	2.759705	.1475351	.1743707	.1006335	.130009	39453.94	.4683306	.1371326	.3472274	.2649698	1	.5316694	.1528259
"056471"	"CA"	0	0	99	9906.696	3.193055	.0829285	.0924344	.1053609	.1249955	35940.81	.4033117	.1105299	.2377573	.3173255	1	.5966883	.0497223
"555499"	"CA"	12.5	5.5	44	13611.79	3.013637	.1271618	.1397937	.1186784	.1764884	35403.98	.3580993	.1305968	.2258272	.2989498	1	.6419007	.12064
"056121"	"CA"	0	0	99	8846.43	3.007854	.080692	.094628	.0976295	.1314441	40214.16	.490337	.0899888	.3484544	.2734434	1	.509663	.0711185
